Customer_ID,Name,Gender,Age,City,Purchase_Amount,Purchase_Date,Age_Group
C0001,Diya,Male,30.0,Bangalore,5930.83,2025-08-25,Adult
C0002,Aditya,Female,30.0,Chennai,14285.36,2025-12-31,Adult
C0003,Aarav,Male,47.0,Hyderabad,11113.91,2025-12-08,Senior
C0004,Diya,Male,41.3374613003096,Mumbai,9180.55,2025-05-30,Senior
C0005,Kavya,Male,34.0,,2762.27,2025-10-10,Adult
C0006,Aditya,Male,56.0,Chennai,2761.92,2025-04-12,Senior
C0007,Rahul,Male,34.0,,1342.21,2025-01-16,Adult
C0008,Sneha,Female,20.0,Hyderabad,13059.55,2025-10-27,Young
C0009,Diya,Female,32.0,Kolkata,9216.17,2025-07-29,Adult
C0010,Ananya,Male,52.0,Mumbai,10767.05,2025-03-22,Senior
C0011,Kavya,Male,57.0,Bangalore,798.48,2025-08-16,Senior
C0012,Sneha,Female,32.0,Bangalore,14563.69,2025-12-12,Adult
C0013,Aditya,Female,27.0,Chennai,12570.42,2025-01-13,Adult
C0014,Aarav,Male,27.0,Pune,3578.92,2025-02-23,Adult
C0015,Aditya,Female,28.0,Pune,3136.46,2025-03-28,Adult
C0016,Diya,Male,45.0,Chennai,3159.37,2025-05-11,Senior
C0017,Ananya,Female,50.0,Hyderabad,4911.51,2025-11-09,Senior
C0018,Rahul,Female,53.0,Hyderabad,7799.55,2025-04-07,Senior
C0019,Diya,Female,47.0,Delhi,6763.2,2025-07-10,Senior
C0020,Diya,Male,41.0,Kolkata,4722.82,2025-08-07,Senior
C0021,Aditya,Male,61.0,Kolkata,7799.55,2025-08-21,Senior
C0022,Diya,Male,41.0,Mumbai,2522.66,2025-01-13,Senior
C0023,Rahul,Female,48.0,Bangalore,4736.1,2025-08-24,Senior
C0024,Aditya,Female,30.0,,5812.25,2025-10-24,Adult
C0025,Kavya,Male,41.3374613003096,Delhi,7113.01,2025-10-11,Senior
C0026,Aarav,Male,55.0,Chennai,11885.05,2025-10-23,Senior
C0027,Sneha,Male,27.0,Chennai,3395.27,2025-01-27,Adult
C0028,Aarav,Female,44.0,Pune,7956.4,2025-12-23,Senior
C0029,Rohan,Female,65.0,Chennai,9090.01,2025-07-31,Senior
C0030,Ananya,Male,65.0,Delhi,1173.53,2025-07-06,Senior
C0031,Aarav,Female,55.0,,9309.4,2025-06-21,Senior
C0032,Vivaan,Male,26.0,Mumbai,2972.6,2025-12-01,Adult
C0033,Kavya,Female,38.0,Kolkata,1443.25,2025-02-20,Adult
C0034,Rahul,Female,41.3374613003096,Chennai,14258.84,2025-12-27,Senior
C0035,Sneha,Male,25.0,Mumbai,14501.66,2025-09-18,Adult
C0036,Aarav,Female,56.0,Mumbai,12221.76,2025-07-07,Senior
C0037,Vivaan,Male,50.0,Bangalore,7799.55,2025-12-01,Senior
C0038,Aditya,Male,35.0,Hyderabad,1916.25,2025-09-02,Adult
C0039,Rahul,Male,48.0,Kolkata,10421.38,2025-07-16,Senior
C0040,Kavya,Male,28.0,Mumbai,6882.21,2025-11-11,Adult
C0041,Sneha,Male,49.0,Delhi,2269.55,2025-12-31,Senior
C0042,Diya,Female,25.0,Chennai,7799.55,2025-07-21,Adult
C0043,Rohan,Male,46.0,Chennai,998.63,2025-04-17,Senior
